origin,date,deal_id,salesforce_crm_id,currency,deal_name,name_source,business_line,brand,agency_group_name,agency,dsp,seat_id,country_served,country_sold,owner,am_csm,inventory_type,gross_revenue,pub_cost,curator_margin_total,curator_margin_stx,curator_margin_curator,margin,requests,bids,wins,impressions,sf_product_lines,pct_of_qtd
STX,2026-08-22,443119806437,,EUR,StackAdapt Deal - CTV,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,7180.94,5696.43,0.0,,,1484.51,7068619058,6689640,6275408,869185,,4.05
STX,2026-08-22,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,6863.46,5488.6,0.0,,,1374.86,7068619058,6807089,6513528,825303,,3.87
STX,2026-08-27,1b21334a-cf38-431e-9723-a45d0620dab9,,EUR,__DEAL__PA__255762__LEXUS__TEAMONE__LEXUS-T1__US__US__JUL__2026____NEUROX__PCOV__P10,Seedtag,Curation Agency,,,,,,,,,,,5665.2,4070.72,0.0,,,1594.48,209750449,2619846,2603215,660848,,3.19
STX,2026-08-26,443119806437,,EUR,StackAdapt Deal - CTV,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,5663.02,4497.06,0.0,,,1165.96,6315700375,4628399,4462929,801555,,3.19
STX,2026-08-26,1b21334a-cf38-431e-9723-a45d0620dab9,,EUR,__DEAL__PA__255762__LEXUS__TEAMONE__LEXUS-T1__US__US__JUL__2026____NEUROX__PCOV__P10,Seedtag,Curation Agency,,,,,,,,,,,5524.61,3913.15,0.0,,,1611.46,197684461,2564213,2543077,662943,,3.11
STX,2026-08-26,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,5055.93,4047.68,0.0,,,1008.25,6315700375,5299435,5112523,684310,,2.85
STX,2026-08-25,1b21334a-cf38-431e-9723-a45d0620dab9,,EUR,__DEAL__PA__255762__LEXUS__TEAMONE__LEXUS-T1__US__US__JUL__2026____NEUROX__PCOV__P10,Seedtag,Curation Agency,,,,,,,,,,,3674.1,2580.78,0.0,,,1093.32,93411134,1616904,1600312,462502,,2.07
STX,2026-08-24,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,2892.99,2416.58,0.0,,,476.41,6338569528,6726297,6526516,326392,,1.63
STX,2026-08-23,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,2669.97,2301.28,0.0,,,368.69,6759359834,6027478,5848835,321881,,1.5
STX,2026-08-25,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,2525.11,2152.69,0.0,,,372.42,6266331962,5275521,5119609,277311,,1.42
STX,2026-08-27,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,2424.35,1991.97,0.0,,,432.38,6038014237,6341397,6151700,291310,,1.37
STX,2026-08-21,BFMSA003,,EUR,StackAdapt Deal - CTV - Premium Pubs - Political,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,1853.4,1540.23,0.0,,,313.17,6329091387,4172988,4058225,200986,,1.04
STX,2026-08-26,NEUROX-100826-QKdd9h,,EUR,Viant Marketplace CTV - Political,Seedtag,DSP Marketplace,,,,,,,,,,,1760.24,1428.07,0.0,,,332.17,2639708798,781563,750245,253708,,0.99
STX,2026-08-23,443119806437,,EUR,StackAdapt Deal - CTV,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,1756.4,1539.4,0.0,,,217.0,6759359834,4246887,4107909,201648,,0.99
STX,2026-08-26,Beach173,,EUR,StackAdapt_Standard Inventory Packages_Beachfront_2025_60 Second Placements,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,1746.88,1404.94,0.0,,,341.94,6315700375,1916103,1827443,391820,,0.98
STX,2026-08-24,1b21334a-cf38-431e-9723-a45d0620dab9,,EUR,__DEAL__PA__255762__LEXUS__TEAMONE__LEXUS-T1__US__US__JUL__2026____NEUROX__PCOV__P10,Seedtag,Curation Agency,,,,,,,,,,,1697.96,1263.11,0.0,,,434.85,65534984,810555,800674,219329,,0.96
